,,State,Statute,Category / Model,Requirement (summary),Provision (summary),Text Excerpt,,,,,,,,
,1,Alabama,No school-specific statute identified in current review,,,,,,,,,,,,
,2,Alaska,No school-specific statute identified in current review,,,,,,,,,,,,
,3,Arizona,No school-specific statute identified in current review,,,,,,,,,,,,
,4,Arkansas,No school-specific statute identified in current review,,,,,,,,,,,,
1,5,California,Cal. Elec. Code §2146(a) & (b),Secretary of State responsibility to distribute VR forms to schools,"Form Distribution:
High schools are required to designate a person responsible for distributing voter registration forms, and the Secretary of State is required to distribute forms to high schools. ",Requirement for Secretary of State to provide high schools with voter registration forms.,"Cal Elec Code 2146 (a) The Secretary of State shall annually provide every high school, community college, and California State University and University of California campus with voter registration forms. The Secretary of State shall provide additional forms to a school, free of charge, if so requested by a school. 
(b) The Secretary of State shall provide a written notice with each registration form describing eligibility requirements and informing each student that he or she may return the completed form in person or by mail to the elections official of the county in which the student resides or to the Secretary of State.",,,,,,,,
1,5,California,Cal. Elec. Code §2146(e),Statement of legislative intent,permissive; don't include,Intent of legislature for high schools to encourage voter registration,"Cal Elec Code 2146 (e) ""It is the intent of the Legislature that every eligible high school and college student receive a meaningful opportunity to apply to register to vote. It is also the intent of the Legislature that every school do all in its power to ensure that students are provided the opportunity and means to apply to register to vote. This may include providing voter registration forms at the start of the school year, including voter registration forms with orientation materials; placing voter registration forms at central locations, including voter registration forms with graduation materials; or providing hyperlinks to, and the Internet Web site address of, the Secretary of State's electronic voter registration system in notices sent by electronic mail to students and placed on the Internet Web site of the high school, college, or university.""",,,,,,,,
1,5,California,Cal. Elec. Code §2148,Designation of person responsible to distribute forms in high schools,included in form distribution in row 6.,Requirement for high schools to designate person responsible for distributing voter registration forms,"(a) Every high school, community college, and California State University campus shall designate a contact person and provide his or her address, telephone number, and e-mail address, when possible, to the Secretary of State for the Secretary of State to contact in order to facilitate the distribution of voter registration cards, as provided under this article.",,,,,,,,
1,5,California,Cal. Educ. Code § 49040,Civic registration weeks,"Special Days:
The last two full weeks in April and September are designated as High School Voter Education Weeks, during which during time persons authorized by the county elections official shall be allowed to register students and school personnel on any high school campus.",Establishes statewide High School Voter Education Weeks allowing on-campus registration activities.,"49040. (a) The last two full weeks in April and the last two full weeks in September shall be known as ""high school voter education weeks,"" during which time persons authorized by the county elections official shall be allowed to register students and school personnel on any high school campus.
(b) This section does not preclude a person from registering to vote students and school personnel on a high school campus as is otherwise permitted by the Elections Codes",,,,,California,Educ. Code §§ 49040–49041,Civic registration weeks,Establishes High School Voter Education Weeks and allows student voter-outreach coordinators.
1,5,California,Cal. Educ. Code § 49041,Student outreach coordinators,permissive; don't include,Schools may appoint student voter outreach coordinators to organize registration and civic participation.,"(a) The administrator of a high school, or his or her designee, may appoint one or more pupils who are enrolled at that high school to be voter outreach coordinators.
(b) A voter outreach coordinator may coordinate voter registration activities on his or her high school campus that encourage persons who are eligible to register to vote pursuant to Section 2101 of the Elections Code, or other persons who may submit an affidavit of registration pursuant to Section 2102 of the Elections Code, to apply to register to vote by submitting an affidavit of registration on paper or electronically on the Internet Web site of the Secretary of State.
(c) A voter outreach coordinator may, with the approval of the administrator of the high school, or his or her designee, coordinate election-related activities on his or her high school campus, including voter registration drives, mock elections, debates, and other election-related pupil outreach activities.",,,,,,,,
2,6,Colorado,Colo. Rev. Stat. § 1-2-401,Statement of legislative intent,permissive; don't include,Intent to make VR more convenient,"It is the intent of the general assembly that, in order to promote and encourage voter registration of all eligible electors in the state, registration should be made as convenient as possible. It is determined by the general assembly that if voter registration is convenient, the number of registered voters will increase. It is further determined by the general assembly that support and cooperation of school officials and interested citizens will make high school registration successful. It is therefore the purpose of this part 4 to encourage voter registration by providing convenient registration procedures for qualified high school students, employees, and other persons by using high school deputy registrars.",,,,,,,,
